"","charMA.DRUGBANK_ID","charMA.DRUG_GROUPS","charMA.GENERIC_NAME"
"CMP304","DB00468","approved","Quinine"
"CMP305","DB00469","approved","Tenoxicam"
"CMP306","DB00470","approved; illicit","Dronabinol"
"CMP307","DB00471","approved","Montelukast"
"CMP308","DB00472","approved; vet_approved","Fluoxetine"
"CMP309","DB00473","approved; withdrawn","Hexylcaine"
"CMP310","DB00474","approved","Methohexital"
"CMP311","DB00476","approved","Duloxetine"
"CMP312","DB00477","approved; investigational; vet_approved","Chlorpromazine"
"CMP313","DB00478","approved; investigational","Rimantadine"
"CMP314","DB00479","approved; investigational; vet_approved","Amikacin"
"CMP315","DB00480","approved","Lenalidomide"
"CMP316","DB00481","approved; investigational","Raloxifene"
"CMP317","DB00482","approved; investigational","Celecoxib"
"CMP318","DB00484","approved","Brimonidine"
"CMP319","DB00485","approved; investigational; vet_approved","Dicloxacillin"
"CMP320","DB00486","approved; investigational","Nabilone"
"CMP321","DB00487","approved","Pefloxacin"
"CMP322","DB00488","approved","Altretamine"
"CMP323","DB00489","approved","Sotalol"
"CMP324","DB00490","approved; investigational","Buspirone"
"CMP325","DB00491","approved","Miglitol"
"CMP326","DB00493","approved","Cefotaxime"
"CMP327","DB00494","approved; investigational","Entacapone"
"CMP328","DB00495","approved","Zidovudine"
"CMP329","DB00496","approved; investigational","Darifenacin"
"CMP330","DB00497","approved; illicit; investigational","Oxycodone"
"CMP331","DB00498","approved; investigational","Phenindione"
"CMP332","DB00499","approved; investigational","Flutamide"
"CMP333","DB00500","approved","Tolmetin"
"CMP334","DB00501","approved; investigational","Cimetidine"
"CMP335","DB00502","approved","Haloperidol"
"CMP336","DB00504","approved","Levallorphan"
"CMP337","DB00505","withdrawn","Tridihexethyl"
"CMP338","DB00507","approved; investigational; vet_approved","Nitazoxanide"
"CMP339","DB00508","approved; vet_approved","Triflupromazine"
"CMP340","DB00509","approved; investigational","Dextrothyroxine"
"CMP341","DB00513","approved; investigational","Aminocaproic acid"
"CMP342","DB00514","approved","Dextromethorphan"
"CMP343","DB00518","approved; vet_approved","Albendazole"
"CMP344","DB00519","approved","Trandolapril"
"CMP345","DB00521","approved","Carteolol"
"CMP346","DB00522","investigational; withdrawn","Bentiromide"
"CMP347","DB00523","approved; investigational","Alitretinoin"
"CMP348","DB00524","approved","Metolazone"
"CMP349","DB00525","approved; investigational; vet_approved","Tolnaftate"
"CMP350","DB00527","approved; vet_approved","Cinchocaine"
"CMP351","DB00528","approved; investigational","Lercanidipine"
"CMP352","DB00529","approved","Foscarnet"
"CMP353","DB00530","approved; investigational","Erlotinib"
"CMP354","DB00531","approved; investigational","Cyclophosphamide"
"CMP355","DB00532","approved; investigational; withdrawn","Mephenytoin"
"CMP356","DB00533","approved; investigational; withdrawn","Rofecoxib"
"CMP357","DB00535","approved","Cefdinir"
"CMP358","DB00536","approved","Guanidine"
"CMP359","DB00537","approved; investigational","Ciprofloxacin"
"CMP360","DB00539","approved; investigational","Toremifene"
"CMP361","DB00540","approved","Nortriptyline"
"CMP362","DB00542","approved; investigational","Benazepril"
"CMP363","DB00543","approved","Amoxapine"
"CMP364","DB00544","approved","Fluorouracil"
"CMP365","DB00545","approved; investigational","Pyridostigmine"
"CMP366","DB00546","experimental","Adinazolam"
"CMP367","DB00547","approved","Desoximetasone"
"CMP368","DB00548","approved","Azelaic acid"
"CMP369","DB00549","approved; investigational","Zafirlukast"
"CMP370","DB00550","approved; investigational","Propylthiouracil"
"CMP371","DB00551","approved","Acetohydroxamic acid"
"CMP372","DB00552","approved; investigational","Pentostatin"
"CMP373","DB00553","approved","Methoxsalen"
"CMP374","DB00554","approved; investigational","Piroxicam"
"CMP375","DB00555","approved; investigational","Lamotrigine"
"CMP376","DB00556","approved","Perflutren"
"CMP377","DB00557","approved","Hydroxyzine"
"CMP378","DB00558","approved; investigational","Zanamivir"
"CMP379","DB00559","approved; investigational","Bosentan"
"CMP380","DB00561","approved; vet_approved","Doxapram"
"CMP381","DB00562","approved","Benzthiazide"
"CMP382","DB00563","approved","Methotrexate"
"CMP383","DB00564","approved; investigational","Carbamazepine"
"CMP384","DB00566","approved","Succimer"
"CMP385","DB00567","approved; investigational; vet_approved","Cephalexin"
"CMP386","DB00568","approved; investigational","Cinnarizine"
"CMP387","DB00571","approved; investigational","Propranolol"
"CMP388","DB00573","approved","Fenoprofen"
"CMP389","DB00574","approved; illicit; investigational; withdrawn","Fenfluramine"
"CMP390","DB00575","approved","Clonidine"
"CMP391","DB00576","approved; investigational; vet_approved","Sulfamethizole"
"CMP392","DB00577","approved; investigational","Valaciclovir"
"CMP393","DB00578","approved; investigational","Carbenicillin"
"CMP394","DB00579","approved; investigational","Mazindol"
"CMP395","DB00580","approved; investigational; withdrawn","Valdecoxib"
"CMP396","DB00581","approved","Lactulose"
"CMP397","DB00582","approved","Voriconazole"
"CMP398","DB00583","approved; investigational","Levocarnitine"
"CMP399","DB00584","approved; vet_approved","Enalapril"
"CMP400","DB00585","approved","Nizatidine"
"CMP401","DB00586","approved; vet_approved","Diclofenac"
"CMP402","DB00587","experimental","Cinalukast"
"CMP403","DB00588","approved","Fluticasone propionate"
"CMP404","DB00589","approved; investigational","Lisuride"
"CMP405","DB00590","approved","Doxazosin"
"CMP406","DB00591","approved; investigational; vet_approved","Fluocinolone acetonide"
"CMP407","DB00592","approved; vet_approved","Piperazine"
"CMP408","DB00593","approved","Ethosuximide"
"CMP409","DB00594","approved","Amiloride"
"CMP410","DB00596","approved","Ulobetasol"
"CMP411","DB00598","approved","Labetalol"
"CMP412","DB00599","approved; vet_approved","Thiopental"
"CMP413","DB00600","approved","Monobenzone"
"CMP414","DB00601","approved; investigational","Linezolid"
"CMP415","DB00603","approved; investigational","Medroxyprogesterone acetate"
"CMP416","DB00604","approved; investigational; withdrawn","Cisapride"
"CMP417","DB00605","approved; investigational","Sulindac"
"CMP418","DB00606","approved","Cyclothiazide"
"CMP419","DB00607","approved; investigational","Nafcillin"
"CMP420","DB00608","approved; investigational; vet_approved","Chloroquine"
"CMP421","DB00609","approved","Ethionamide"
"CMP422","DB00610","approved; investigational","Metaraminol"
"CMP423","DB00611","approved; illicit; vet_approved","Butorphanol"
"CMP424","DB00612","approved","Bisoprolol"
"CMP425","DB00613","approved; investigational","Amodiaquine"
"CMP426","DB00614","experimental; vet_approved","Furazolidone"
"CMP427","DB00617","approved","Paramethadione"
"CMP428","DB00619","approved","Imatinib"
"CMP429","DB00620","approved; vet_approved","Triamcinolone"
"CMP430","DB00621","approved; investigational","Oxandrolone"
"CMP431","DB00622","approved; investigational","Nicardipine"
"CMP432","DB00623","approved","Fluphenazine"
"CMP433","DB00624","approved; investigational","Testosterone"
"CMP434","DB00625","approved; investigational","Efavirenz"
"CMP435","DB00627","approved; investigational; nutraceutical","Niacin"
"CMP436","DB00628","approved; illicit","Clorazepic acid"
"CMP437","DB00629","approved; investigational","Guanabenz"
"CMP438","DB00630","approved","Alendronic acid"
"CMP439","DB00631","approved; investigational","Clofarabine"
"CMP440","DB00633","approved; vet_approved","Dexmedetomidine"
"CMP441","DB00634","approved","Sulfacetamide"
"CMP442","DB00635","approved; vet_approved","Prednisone"
"CMP443","DB00636","approved; investigational","Clofibrate"
"CMP444","DB00637","approved; withdrawn","Astemizole"
"CMP445","DB00639","approved","Butoconazole"
"CMP446","DB00640","approved; investigational","Adenosine"
"CMP447","DB00641","approved","Simvastatin"
"CMP448","DB00642","approved; investigational","Pemetrexed"
"CMP449","DB00643","approved; vet_approved","Mebendazole"
"CMP450","DB00645","approved","Dyclonine"
"CMP451","DB00647","approved; illicit; investigational; withdrawn","Dextropropoxyphene"
"CMP452","DB00648","approved","Mitotane"
"CMP453","DB00649","approved; investigational","Stavudine"
"CMP454","DB00650","approved","Leucovorin"
"CMP455","DB00651","approved","Dyphylline"
"CMP456","DB00652","approved; vet_approved","Pentazocine"
"CMP457","DB00654","approved; investigational","Latanoprost"
"CMP458","DB00655","approved","Estrone"
"CMP459","DB00656","approved; investigational","Trazodone"
"CMP460","DB00657","approved; investigational","Mecamylamine"
"CMP461","DB00659","approved; investigational","Acamprosate"
"CMP462","DB00660","approved","Metaxalone"
"CMP463","DB00661","approved","Verapamil"
"CMP464","DB00662","approved; investigational","Trimethobenzamide"
"CMP465","DB00663","approved; vet_approved","Flumethasone"
"CMP466","DB00664","approved; withdrawn","Sulfametopyrazine"
"CMP467","DB00665","approved; investigational","Nilutamide"
"CMP468","DB00668","approved; vet_approved","Epinephrine"
"CMP469","DB00669","approved; investigational","Sumatriptan"
"CMP470","DB00670","approved","Pirenzepine"
"CMP471","DB00671","approved; investigational","Cefixime"
"CMP472","DB00672","approved; investigational","Chlorpropamide"
"CMP473","DB00673","approved; investigational","Aprepitant"
"CMP474","DB00674","approved","Galantamine"
"CMP475","DB00675","approved","Tamoxifen"
"CMP476","DB00676","approved","Benzyl benzoate"
"CMP477","DB00677","approved; investigational; withdrawn","Isoflurophate"
"CMP478","DB00678","approved","Losartan"
"CMP479","DB00679","approved; withdrawn","Thioridazine"
"CMP480","DB00680","approved; investigational; withdrawn","Moricizine"
"CMP481","DB00682","approved","Warfarin"
"CMP482","DB00683","approved; illicit","Midazolam"
"CMP483","DB00684","approved; investigational","Tobramycin"
"CMP484","DB00686","approved","Pentosan polysulfate"
"CMP485","DB00687","approved; investigational","Fludrocortisone"
"CMP486","DB00688","approved; investigational","Mycophenolate mofetil"
"CMP487","DB00689","approved","Cephaloglycin"
"CMP488","DB00690","approved; illicit; investigational","Flurazepam"
"CMP489","DB00691","approved","Moexipril"
"CMP490","DB00692","approved","Phentolamine"
"CMP491","DB00693","approved","Fluorescein"
"CMP492","DB00694","approved","Daunorubicin"
"CMP493","DB00695","approved; vet_approved","Furosemide"
"CMP494","DB00696","approved","Ergotamine"
"CMP495","DB00697","approved; investigational","Tizanidine"
"CMP496","DB00698","approved; vet_approved","Nitrofurantoin"
"CMP497","DB00699","approved; investigational","Nicergoline"
"CMP498","DB00700","approved","Eplerenone"
"CMP499","DB00701","approved; investigational","Amprenavir"
"CMP500","DB00703","approved","Methazolamide"
"CMP501","DB00704","approved; investigational; vet_approved","Naltrexone"
"CMP502","DB00705","approved","Delavirdine"
"CMP503","DB00706","approved; investigational","Tamsulosin"
"CMP504","DB00708","approved; investigational","Sufentanil"
"CMP505","DB00709","approved; investigational","Lamivudine"
"CMP506","DB00710","approved; investigational","Ibandronate"
"CMP507","DB00711","approved; investigational; vet_approved","Diethylcarbamazine"
"CMP508","DB00712","approved; investigational","Flurbiprofen"
"CMP509","DB00713","approved; investigational","Oxacillin"
"CMP510","DB00714","approved; investigational","Apomorphine"
"CMP511","DB00715","approved; investigational","Paroxetine"
"CMP512","DB00716","approved; investigational","Nedocromil"
"CMP513","DB00717","approved","Norethisterone"
"CMP514","DB00718","approved; investigational","Adefovir dipivoxil"
"CMP515","DB00719","approved","Azatadine"
"CMP516","DB00720","approved; investigational; vet_approved","Clodronic acid"
"CMP517","DB00721","approved; investigational; vet_approved","Procaine"
"CMP518","DB00722","approved; investigational","Lisinopril"
"CMP519","DB00723","approved; investigational","Methoxamine"
"CMP520","DB00724","approved; investigational","Imiquimod"
"CMP521","DB00726","approved","Trimipramine"
"CMP522","DB00727","approved; investigational","Nitroglycerin"
"CMP523","DB00728","approved","Rocuronium"
"CMP524","DB00730","approved; vet_approved","Thiabendazole"
"CMP525","DB00733","approved; vet_approved","Pralidoxime"
"CMP526","DB00734","approved; investigational","Risperidone"
"CMP527","DB00735","approved","Naftifine"
"CMP528","DB00736","approved; investigational","Esomeprazole"
"CMP529","DB00737","approved","Meclizine"
"CMP530","DB00738","approved; investigational","Pentamidine"
"CMP531","DB00739","approved; vet_approved; withdrawn","Hetacillin"
"CMP532","DB00740","approved; investigational","Riluzole"
"CMP533","DB00741","approved; vet_approved","Hydrocortisone"
